loss_rate_percent,consumer,mean_fct95_s,mean_fct99_s,mean_fct100_s,max_flow_fct100_s,flows
0,con0,7.1087234502,7.4334646122,7.467497765599999,8.757524421,5
0,con1,11.8772688924,12.2700058402,12.4332148284,12.745237258,5
0,con2,6.331401402,6.4854162062,6.6482070019999995,6.960148364,5
0,con3,7.2744275984,7.444880487000001,7.624936367399999,7.876607336,5
0,con4,6.2698565612,6.4856374610000005,6.588948487400001,7.025434757,5
0.01,con0,9.7754339432,10.0151704376,10.269900147,12.201799653,5
0.01,con1,9.201305128,9.496786195,9.5992317262,11.00438946,5
0.01,con2,6.1750597526,6.3702736422,6.5169903586,7.241446708,5
0.01,con3,7.2925468452,7.5174875312,7.6626192538,8.19477166,5
0.01,con4,6.2263815424,6.4085354488,6.5015520890000005,7.104182967,5
0.1,con0,10.6876534334,10.9493825008,10.9992071568,13.004312197,5
0.1,con1,7.1198473238,7.3313185884,7.3953698174,10.301548755,5
0.1,con2,6.4178798332,6.621685182599999,6.677503311600001,7.28801168,5
0.1,con3,7.102329127599999,7.298315316,7.3524671572,8.790969141,5
0.1,con4,6.3887866164,6.5664462972,6.6081314902,7.613772897,5
1,con0,12.402884556,12.6811517068,12.7828150458,14.887812166,5
1,con1,13.346244841,13.8038551296,13.931287464799999,16.628080245,5
1,con2,9.964691265599999,10.384068314999999,10.532867447000001,12.008761891,5
1,con3,10.2267350184,10.638645670399999,10.7419377576,15.808331681,5
1,con4,9.8963907788,10.320087639,10.549618324799999,13.212632934,5
