loss_rate_percent,consumer,session,remote,fct95_s,fct99_s,fct100_s
0,con0,1,172.16.0.1:51527,8.560157223,8.72058523,8.757524421
0,con0,2,172.16.0.5:41495,6.283102983,6.688209707,6.700914386
0,con0,3,172.16.0.17:44149,6.110565305,6.371365286,6.472653926
0,con0,4,172.16.0.9:44067,7.060722575,7.598197643,7.598249674
0,con0,5,172.16.0.13:52895,7.529069165,7.788965195,7.808146421
0,con1,1,172.16.0.25:33425,11.122456956,11.534632095,12.348876938
0,con1,2,172.16.0.33:47863,12.081405072,12.371960927,12.372045562
0,con1,3,172.16.0.29:46181,12.122061904,12.343429415,12.343524521
0,con1,4,172.16.0.21:40983,11.427475556,12.356286251,12.356389863
0,con1,5,172.16.0.37:56683,12.632944974,12.743720513,12.745237258
0,con2,1,172.16.0.49:48703,6.803352102,6.929103817,6.960148364
0,con2,2,172.16.0.57:54603,6.509705423,6.671561743,6.794805482
0,con2,3,172.16.0.41:56327,6.329820904,6.440448416,6.71156347
0,con2,4,172.16.0.53:44037,6.567215809,6.731495129,6.795049889
0,con2,5,172.16.0.45:48405,5.446912772,5.654471926,5.979467805
0,con3,1,172.16.0.65:34721,7.664679533,7.823662685,7.876607336
0,con3,2,172.16.0.61:60827,7.565918848,7.799130774,7.876194932
0,con3,3,172.16.0.73:37091,7.647868693,7.776678426,7.875759234
0,con3,4,172.16.0.77:33561,6.694922743,6.819939106,7.205594205
0,con3,5,172.16.0.69:44463,6.798748175,7.004991444,7.29052613
0,con4,1,172.16.0.97:58303,6.607312771,6.754645638,6.806893621
0,con4,2,172.16.0.89:41285,6.027978819,6.385033432,6.43403949
0,con4,3,172.16.0.81:42063,5.365584398,5.635879386,5.912656762
0,con4,4,172.16.0.85:44989,6.49903178,6.654016073,6.765717807
0,con4,5,172.16.0.93:55875,6.849375038,6.998612776,7.025434757
0.01,con0,1,172.16.0.1:38331,11.284730444,11.405613796,11.405667471
0.01,con0,2,172.16.0.9:53005,6.988887651,7.417542859,7.935754855
0.01,con0,3,172.16.0.17:59313,9.104451302,9.31113225,9.961678784
0.01,con0,4,172.16.0.5:56661,9.349226718,9.768729786,9.844599972
0.01,con0,5,172.16.0.13:41167,12.149873601,12.172833497,12.201799653
0.01,con1,1,172.16.0.37:52107,9.87087409,10.299839319,10.299926559
0.01,con1,2,172.16.0.33:53967,10.424390566,10.599192863,10.657355183
0.01,con1,3,172.16.0.21:58305,9.775112825,10.21117019,10.435113274
0.01,con1,4,172.16.0.29:34619,5.071593008,5.416413885,5.599374155
0.01,con1,5,172.16.0.25:45913,10.864555151,10.957314718,11.00438946
0.01,con2,1,172.16.0.57:59913,5.843446674,6.126307852,6.338713691
0.01,con2,2,172.16.0.45:33613,7.10574488,7.23354189,7.241446708
0.01,con2,3,172.16.0.41:38083,6.745930686,6.870548042,6.870586407
0.01,con2,4,172.16.0.49:55687,5.265393636,5.533962303,5.821104641
0.01,con2,5,172.16.0.53:48715,5.914782887,6.087008124,6.313100346
0.01,con3,1,172.16.0.69:57641,7.486893895,7.576890249,7.783368522
0.01,con3,2,172.16.0.65:42835,7.269702512,7.485353173,7.625292847
0.01,con3,3,172.16.0.73:50657,7.372723349,7.653280248,7.81542589
0.01,con3,4,172.16.0.77:48925,7.985322751,8.169580758,8.19477166
0.01,con3,5,172.16.0.61:43177,6.348091719,6.702333228,6.89423735
0.01,con4,1,172.16.0.97:41273,5.293163493,5.603603175,5.748998227
0.01,con4,2,172.16.0.85:45835,6.595342889,6.735955073,6.770445872
0.01,con4,3,172.16.0.89:56637,6.159552743,6.30420623,6.445280916
0.01,con4,4,172.16.0.81:42075,6.118100804,6.296211676,6.438852463
0.01,con4,5,172.16.0.93:59015,6.965747783,7.10270109,7.104182967
0.1,con0,1,172.16.0.1:33379,12.750468824,12.950089604,13.004312197
0.1,con0,2,172.16.0.5:52963,8.334503949,8.735611088,8.73565344
0.1,con0,3,172.16.0.17:56829,10.695460009,10.924763581,11.00565825
0.1,con0,4,172.16.0.13:39127,10.465847175,10.706096659,10.820010628
0.1,con0,5,172.16.0.9:38239,11.19198721,11.430351572,11.430401269
0.1,con1,1,172.16.0.25:51017,8.849983547,8.963524249,9.021634435
0.1,con1,2,172.16.0.21:38825,4.661217961,5.076336865,5.076490695
0.1,con1,3,172.16.0.37:56283,5.022105725,5.161907152,5.382225483
0.1,con1,4,172.16.0.29:40033,6.9382967,7.186016588,7.194949719
0.1,con1,5,172.16.0.33:48299,10.127632686,10.268808088,10.301548755
0.1,con2,1,172.16.0.57:39133,6.317965655,6.430416975,6.502541059
0.1,con2,2,172.16.0.41:38041,6.02488665,6.272420355,6.394065123
0.1,con2,3,172.16.0.45:56231,6.627373778,6.779475275,6.809794004
0.1,con2,4,172.16.0.53:54101,7.091680346,7.256665739,7.28801168
0.1,con2,5,172.16.0.49:40687,6.027492737,6.369447569,6.393104692
0.1,con3,1,172.16.0.61:43395,8.571577987,8.724728547,8.790969141
0.1,con3,2,172.16.0.69:53209,7.32974304,7.488877628,7.528641065
0.1,con3,3,172.16.0.73:49311,6.42582597,6.649843707,6.731229793
0.1,con3,4,172.16.0.65:33253,6.719430639,6.898159484,6.938668083
0.1,con3,5,172.16.0.77:37869,6.465068002,6.729967214,6.772827704
0.1,con4,1,172.16.0.97:52645,7.388763429,7.549681279,7.613772897
0.1,con4,2,172.16.0.85:45315,5.74741059,6.020034809,6.020099596
0.1,con4,3,172.16.0.81:48959,7.223890714,7.360705182,7.395520421
0.1,con4,4,172.16.0.89:41097,5.526819257,5.748625105,5.818586396
0.1,con4,5,172.16.0.93:50131,6.057049092,6.153185111,6.192678141
1,con0,1,172.16.0.1:36579,14.243793632,14.794928269,14.887812166
1,con0,2,172.16.0.9:54393,13.363964946,13.459640621,13.562535318
1,con0,3,172.16.0.13:54625,11.214848156,11.282758568,11.384481173
1,con0,4,172.16.0.5:33155,11.487942283,11.876004755,11.983625278
1,con0,5,172.16.0.17:49063,11.703873763,11.992426321,12.095621294
1,con1,1,172.16.0.21:46283,15.928176575,16.386570102,16.628080245
1,con1,2,172.16.0.37:54105,14.676688934,15.437238306,15.531960403
1,con1,3,172.16.0.33:41505,14.227188178,14.496601394,14.682244475
1,con1,4,172.16.0.29:35471,10.766743364,11.034193547,11.064287998
1,con1,5,172.16.0.25:45115,11.132427154,11.664672299,11.749864203
1,con2,1,172.16.0.49:54789,10.315001838,10.720098941,10.875976784
1,con2,2,172.16.0.41:37925,9.452245545,9.705777688,9.882476968
1,con2,3,172.16.0.45:47725,8.480405397,8.881090157,9.037202727
1,con2,4,172.16.0.53:42429,10.471678777,10.757537337,10.859918865
1,con2,5,172.16.0.57:45277,11.104124771,11.855837452,12.008761891
1,con3,1,172.16.0.69:50689,7.060353148,7.456152333,7.57445837
1,con3,2,172.16.0.65:46973,11.434251865,11.554696488,11.613711402
1,con3,3,172.16.0.61:32885,8.586093728,8.928114086,9.117572731
1,con3,4,172.16.0.73:49585,9.233448454,9.595565929,9.595614604
1,con3,5,172.16.0.77:56087,14.819527897,15.658699516,15.808331681
1,con4,1,172.16.0.97:51887,9.925101515,10.441036018,10.607043031
1,con4,2,172.16.0.81:57981,10.262543996,10.651746008,10.771083323
1,con4,3,172.16.0.93:60149,8.954862468,9.243427841,9.828294436
1,con4,4,172.16.0.85:56099,12.538880862,13.085873211,13.212632934
1,con4,5,172.16.0.89:40607,7.800565053,8.178355117,8.3290379
